ReturnDate,TerritoryKey,ProductKey,ReturnQuantity
04-01-2015,8,311,1
05-01-2015,4,312,1
12-01-2015,10,356,1
02-02-2015,6,312,1
07-03-2015,4,373,1
09-03-2015,9,369,1
10-03-2015,1,352,1
12-04-2015,4,324,1
06-05-2015,4,313,1
12-05-2015,6,389,1
05-06-2015,9,324,1
12-06-2015,10,360,1
04-07-2015,9,311,1
04-07-2015,9,351,1
05-07-2015,9,351,1
06-07-2015,4,342,1
10-07-2015,9,352,1
03-08-2015,8,350,1
10-08-2015,10,354,1
04-09-2015,9,311,1
04-10-2015,9,326,1
09-10-2015,1,354,1
12-10-2015,9,334,1
07-11-2015,8,387,1
12-11-2015,9,375,1
10-12-2015,9,379,1
12-12-2015,8,377,1
12-12-2015,9,362,1
12-12-2015,9,379,1
02-01-2016,1,354,1
04-01-2016,8,373,1
05-01-2016,1,322,1
05-01-2016,9,352,1
08-01-2016,4,487,1
08-01-2016,9,486,1
09-01-2016,1,220,1
09-01-2016,6,535,1
10-01-2016,4,478,1
10-01-2016,6,232,1
10-01-2016,10,358,1
10-01-2016,10,477,1
10-01-2016,10,528,1
11-01-2016,6,477,1
11-01-2016,6,478,1
11-01-2016,6,528,1
11-01-2016,6,529,1
12-01-2016,1,215,1
12-01-2016,6,535,1
12-01-2016,7,220,1
12-01-2016,7,586,1
12-01-2016,8,223,1
12-01-2016,8,477,1
12-01-2016,9,214,1
12-01-2016,9,540,1
07-02-2016,9,375,1
08-02-2016,4,477,1
08-02-2016,6,477,1
08-02-2016,9,539,1
09-02-2016,7,478,1
09-02-2016,9,385,1
10-02-2016,1,480,1
10-02-2016,1,535,1
10-02-2016,4,214,1
10-02-2016,4,529,1
10-02-2016,9,215,1
10-02-2016,10,529,1
11-02-2016,4,215,1
11-02-2016,6,360,1
11-02-2016,7,477,1
11-02-2016,9,214,1
11-02-2016,10,385,1
12-02-2016,6,474,1
05-03-2016,9,370,1
07-03-2016,9,354,1
07-03-2016,9,477,1
07-03-2016,9,479,1
08-03-2016,6,229,1
08-03-2016,6,537,1
08-03-2016,6,540,1
09-03-2016,1,477,1
09-03-2016,1,538,1
09-03-2016,4,466,1
09-03-2016,6,574,1
09-03-2016,9,362,1
09-03-2016,9,480,1
09-03-2016,9,528,1
09-03-2016,9,561,1
10-03-2016,8,352,1
11-03-2016,4,474,1
11-03-2016,4,541,1
11-03-2016,8,375,1
11-03-2016,9,489,1
12-03-2016,1,528,1
12-03-2016,1,535,1
12-03-2016,6,464,1
12-03-2016,6,528,1
12-03-2016,9,488,1
12-03-2016,10,220,1
04-04-2016,7,387,1
07-04-2016,9,356,1
08-04-2016,1,478,1
09-04-2016,6,477,1
09-04-2016,6,541,1
09-04-2016,7,528,1
09-04-2016,10,484,1
10-04-2016,4,479,1
10-04-2016,4,487,1
10-04-2016,6,480,1
10-04-2016,9,214,1
11-04-2016,4,466,1
11-04-2016,10,528,1
12-04-2016,1,478,1
12-04-2016,1,539,1
12-04-2016,8,477,1
12-04-2016,9,529,1
08-05-2016,4,484,1
08-05-2016,4,528,1
08-05-2016,6,220,1
09-05-2016,1,477,1
09-05-2016,4,362,1
09-05-2016,4,537,1
09-05-2016,6,220,1
09-05-2016,9,477,1
09-05-2016,9,485,1
10-05-2016,1,485,1
10-05-2016,6,480,1
10-05-2016,10,466,1
11-05-2016,1,478,1
11-05-2016,9,480,1
11-05-2016,10,529,1
12-05-2016,4,214,1
12-05-2016,4,528,1
12-05-2016,6,478,1
12-05-2016,8,385,1
12-05-2016,9,477,1
12-05-2016,10,214,1
12-05-2016,10,215,1
07-06-2016,10,528,1
08-06-2016,8,529,1
09-06-2016,1,214,1
09-06-2016,4,477,1
09-06-2016,4,478,1
09-06-2016,8,562,1
09-06-2016,9,480,1
09-06-2016,10,223,1
10-06-2016,4,485,1
10-06-2016,9,223,1
10-06-2016,9,360,1
10-06-2016,9,477,1
10-06-2016,9,478,1
10-06-2016,9,488,1
11-06-2016,1,485,1
11-06-2016,4,477,2
