OrderDate,StockDate,OrderNumber,ProductKey,CustomerKey,TerritoryKey,OrderLineItem,OrderQuantity
01-Jun-15,10-Jan-01,SO45108,310,22975,6,1,2
18-Jan-15,10-Jan-01,SO45184,320,25717,9,1,1
22-Jan-15,10-Jan-01,SO45211,311,18724,9,1,1
01-Aug-15,11-Jan-01,SO45114,310,29146,1,1,1
24-Jan-15,11-Jan-01,SO45217,314,29144,1,1,2
23-Feb-15,11-Jan-01,SO45478,313,29354,1,1,2
26-Feb-15,11-Jan-01,SO45504,340,14730,4,1,1
02-Mar-15,12-Jan-01,SO45357,351,28443,7,1,1
02-Oct-15,12-Jan-01,SO45400,313,14162,8,1,2
02-Nov-15,11-Feb-01,SO45415,312,28092,6,1,2
20-Jan-15,11-Feb-01,SO45195,313,18929,9,1,2
03-Jun-15,12-Feb-01,SO45618,311,12618,7,1,1
01-Mar-15,10-Mar-01,SO45093,312,18906,9,1,1
20-Jan-15,10-Mar-01,SO45197,314,18902,9,1,2
02-Dec-15,11-Mar-01,SO45424,311,28165,6,1,1
29-Jan-15,11-Mar-01,SO45246,310,18709,9,1,2
03-Jun-15,12-Mar-01,SO45616,314,14800,8,1,2
02-Aug-15,12-Mar-01,SO45395,313,29352,4,1,2
01-Nov-15,12-Mar-01,SO45135,310,29264,4,1,1
19-Jan-15,12-Mar-01,SO45189,310,29145,1,1,1
25-Feb-15,12-Mar-01,SO45494,310,19609,9,1,1
21-Mar-15,12-Mar-01,SO45716,310,19783,9,1,2
15-Jan-15,10-Apr-01,SO45164,349,11453,9,1,1
20-Jan-15,10-Apr-01,SO45193,310,22889,6,1,2
23-Feb-15,11-Apr-01,SO45479,313,19099,9,1,1
24-Jan-15,12-Apr-01,SO45220,312,29207,1,1,1
26-Feb-15,12-Apr-01,SO45505,313,19593,9,1,1
26-Mar-15,12-Apr-01,SO45747,314,11539,4,1,2
31-Jan-15,10-May-01,SO45263,340,14722,1,1,2
31-Jan-15,10-May-01,SO45260,310,29150,1,1,2
01-Jul-15,11-May-01,SO45109,311,14937,10,1,1
14-Jan-15,11-May-01,SO45155,312,18900,9,1,2
30-Jan-15,11-May-01,SO45250,310,14147,8,1,2
23-Feb-15,11-May-01,SO45481,313,19563,9,1,2
01-Jan-15,12-May-01,SO45079,312,29255,4,1,1
01-Jul-15,12-May-01,SO45110,311,18710,9,1,2
15-Jan-15,12-May-01,SO45158,344,28419,7,1,2
13-Mar-15,12-May-01,SO45656,313,11617,4,1,1
19-Jan-15,10-Jun-01,SO45191,328,14660,1,1,2
23-Jan-15,10-Jun-01,SO45214,310,12464,7,1,2
02-Apr-15,11-Jun-01,SO45368,328,14732,1,1,1
13-Feb-15,11-Jun-01,SO45431,311,28013,6,1,2
02-Jan-15,12-Jun-01,SO45348,311,19562,9,1,2
02-Jun-15,12-Jun-01,SO45378,310,28178,6,1,2
22-Feb-15,12-Jun-01,SO45475,313,19601,9,1,2
24-Feb-15,12-Jun-01,SO45483,314,14181,8,1,1
